amfi_code,date,nav,fund_name,fund_house,scheme_category
,2018-11-16,52.5647,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-19,53.029,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-20,52.7118,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-21,52.6805,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-22,52.5867,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-26,52.3692,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-27,52.3787,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-28,52.4448,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-29,52.4969,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-11-30,52.7422,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-03,52.7747,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-04,52.9458,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-05,52.5267,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-06,51.9051,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-07,52.0078,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-10,51.301,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-11,51.6933,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-12,52.6722,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-13,53.0474,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-14,53.0898,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-17,53.2949,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-18,53.4937,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-19,54.0589,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-20,54.1591,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-21,53.5026,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-24,52.8045,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-26,52.817,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-27,53.0365,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-28,53.5178,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-12-31,53.8265,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-01,53.818,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-02,53.7148,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-03,53.5067,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-04,53.3289,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-07,53.4187,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-08,53.2516,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-09,53.2998,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-10,53.2423,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-11,53.1862,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-14,53.1547,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2019-01-15,53.2756,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
